Genbank Accession,Official Symbol,Z-Score,P-value,FDR,Q-value,Fold-change Mutant/Control,Endstage Mean,Endstage STD,Con D130 Mean,Con D130 STD
NM_001040683,Med15,1.67E+00,0.131294965,0.392148723,0.448023922,8.189562158,1.367580444,2.132466186,0.166990667,0.229457188
NM_026928,1810014F10Rik,5.190957096,3.07E-04,0.012047586,0.176930904,8.166119202,0.719708667,0.332225147,0.0881335,0.123437246
NM_145839,Rasgef1b,3.096292167,0.013315522,0.108935649,0.307442424,8.165016621,14.26364444,11.86442484,1.746921667,2.051142633
NM_181061,Cenpk,1.98E+00,0.077492618,0.298811928,0.408889983,8.150638702,0.104925889,0.133684747,0.012873333,0.031533098
NM_144910,Cnot6l,1.84092992,0.098385109,0.338334492,0.432821519,8.144551556,0.817407556,1.129048018,0.1003625,0.245836914
NM_001177379,,4.0739302,0.003028573,0.044860069,0.251384062,8.130701242,5.294451111,3.351486927,0.651167833,0.553120461
NM_001171034,,2.215209757,0.052071384,0.242248513,0.387678158,8.097826289,0.726318333,0.819099951,0.089693,0.219702083
NM_145994,Abi1,1.986295887,0.077138222,0.298016656,0.417573833,8.046244569,2.534888889,3.216777512,0.31504,0.771687249
NM_013688,Tcte1,2.302415334,0.048157951,0.232509808,0.392756968,7.966292779,0.155937722,0.174488309,0.019574691,0.027366467
NM_178256,Reps2,8.38E+00,5.82E-06,0.002214311,0.040240617,7.963206804,0.873988889,0.252884595,0.109753383,0.085002839
NM_009834,Ccrn4l,3.96E+00,0.003181477,0.046382896,0.234253474,7.914098522,0.366730211,0.234004595,0.046338848,0.052339118
NM_008400,Itgal,4.571711109,8.59E-04,0.021810152,0.194958909,7.893928792,0.416386667,0.21879568,0.05274771,0.077758335
NM_001177713,,1.22305797,0.255416568,0.547752545,0.505949323,7.84965366,0.089393033,0.190330868,0.01138815,0.015989785
NM_028608,Glipr1,6.49E+00,1.70E-04,0.008857703,0.080634984,7.828293502,11.50742444,4.611502711,1.469978667,0.43709638
NM_007408,Adfp,8.846575375,1.52E-05,0.003156045,0.034277776,7.827338041,10.44040222,3.048171637,1.333838167,0.404489908
NM_028072,Sulf2,6.33E+00,1.83E-04,0.009084821,0.133703494,7.783069212,2.592018889,1.057351181,0.333033,0.137601185
NM_152804,Plk2,5.47E+00,5.11E-04,0.016153932,0.146120257,7.78198459,11.50026222,5.436902425,1.477805833,0.675837699
NM_008510,Xcl1,2.175310693,0.057840517,0.256310621,0.389665468,7.757700324,1.014243033,1.183695799,0.130740167,0.235918205
NM_010362,Gsto1,8.580593871,1.93E-05,0.003432714,0.038801464,7.743928238,7.224417778,2.171497814,0.932913833,0.286547587
NM_028133,Egln3,5.343086835,4.69E-04,0.015368835,0.180193555,7.740264671,1.564485,0.741889522,0.202122933,0.152134798
NM_007630,Ccnb2,7.630209531,1.85E-05,0.003398123,0.056995305,7.73672769,1.166855333,0.376021932,0.150820267,0.110123069
NM_053269,Rad51c,2.811886631,0.021491176,0.144682497,0.325711525,7.719044078,0.3140358,0.287246563,0.04068325,0.041175245
NR_033512,,4.664893825,7.90E-04,0.020598582,0.185293439,7.718718885,0.1615021,0.083647574,0.020923433,0.028004648
NM_010515,Igf2r,4.16E+00,0.002928977,0.044167172,0.250362221,7.679876347,1.119380889,0.695644983,0.145755067,0.073762015
NM_146702,Olfr1444,1.778506789,0.110917579,0.360184327,0.442617284,7.654589822,0.174424756,0.251681746,0.02278695,0.037253244
NM_172648,Ifi205,7.253998336,1.85E-05,0.003398123,0.057954169,7.603528843,0.719816444,0.236647653,0.094668733,0.085011455
NM_008176,Cxcl1,2.382141576,0.040808483,0.212495893,0.379226933,7.580922401,2.739030222,2.894187377,0.361305667,0.627340613
NM_001159385,,2.28E+00,0.045285922,0.225633342,0.384661651,7.569283501,0.316041556,0.337648109,0.041753167,0.102273953
NM_028360,Ttc19,2.587727748,0.025758448,0.160897477,0.367423213,7.497657627,0.811778889,0.748119511,0.108271,0.265208704
NM_008074,Gabrg3,1.175912983,2.72E-01,0.564270112,0.512178625,7.463005987,0.128426392,0.281271579,0.0172084,0.030494727
NM_181728,Art3,2.734382732,0.023617763,0.153688032,0.348966699,7.444285558,0.146701558,0.136068254,0.0197066,0.024476087
NM_028950,Nsun6,1.318424039,2.21E-01,0.510133696,0.488994609,7.422967142,0.115178222,0.221945794,0.015516467,0.038007426
NM_001025313,Tapbp,2.136272151,0.058700611,0.257670701,0.404923544,7.389727709,3.710665556,4.246505226,0.502138333,1.229982697
