,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
HTATIP2,-0.054470547,0.671562965,0.586449634,6.49E-05,0.127150219,0.603305289,6.983224504,0.001898168,-0.174016271,0.071390098
FABP3,0.160448717,0.257758272,3.33464483,5.10E-10,0.12694306,0.400525138,4.088512618,0.00201161,-0.093083944,0.34188231
HIF1A,0.030466612,0.4768177,1.858443284,1.04E-08,0.532250125,0.000126497,1.821708479,0.00212026,0.577508342,0.010221914
STMN1,0.131111918,0.428808399,-0.101525426,0.498750691,0.75344626,9.64E-05,2.097793767,0.00223154,0.389573056,0.010890538
CLIC4,1.14156484,1.91E-07,2.262553131,2.41E-06,1.107229637,4.41E-08,2.536149443,0.002253061,2.895723389,1.63E-08
OLFR111,-0.005094491,0.932629306,0.658191823,3.24E-05,-0.03104889,0.92360434,2.690463493,0.002253061,-0.831051422,2.29E-05
PSAT1,0.330988716,0.143950849,1.943800224,3.03E-10,0.93047795,3.06E-10,2.388123604,0.002253061,0.550555955,0.007824939
LGALS3BP,1.437282105,3.35E-06,1.35020449,6.32E-08,1.882702709,4.24E-17,2.78479627,0.002549942,0.038898226,0.840506342
RELL1,0.768702386,0.001015448,1.656141672,3.06E-07,0.483580452,0.000187924,2.174675826,0.002574242,0.012209388,0.924135078
TMEM119,-0.129481535,0.29915493,-1.41246136,1.23E-07,-0.123200314,0.245282936,-1.332401793,0.002753463,-0.643577074,1.72E-05
TRPC4,0.042090184,0.234960765,0.766774556,5.44E-05,-0.076932368,0.447715765,4.14669152,0.002753506,0.007230891,0.948735035
LMNA,-0.032129339,0.793950867,1.018244591,0.001555625,0.060394897,0.6388369,3.132586698,0.002763787,-0.084379666,0.480843241
GAS7,0.123778264,0.194288244,1.579470869,5.37E-07,0.570806579,0.081637953,2.253511483,0.002907513,1.117668777,0.023712111
ABCA1,-0.24323909,0.060210936,-0.498959193,0.016107857,0.386799023,0.017702878,2.009841601,0.002920128,-0.318810415,0.017178606
F2R,0.027316594,0.667874944,0.945998414,5.50E-05,0.845860827,1.22E-08,2.279892463,0.002945399,0.084794149,0.198188333
CRYAA,-0.071583199,0.489223584,0.04384584,0.778827113,0.055590901,0.806367877,10.91889033,0.003339685,0.034363793,0.655206656
XYLT1,-0.022650817,0.903341341,0.206620738,0.272992434,-0.013629816,0.951226354,2.23899399,0.003339685,-0.086053379,0.401204154
CD5L,0.008616368,0.88933433,-0.033519397,0.800927829,0.002353949,0.984872446,5.734802593,0.003346617,0.066150386,0.267822749
ADAM8,0.029935581,0.683554299,0.785715343,0.219990193,-0.032136871,0.72400578,3.207932607,0.003394476,0.056620001,0.504716595
SERPINF1,-0.454219354,0.001615817,-1.477142573,2.47E-08,-0.506372948,8.37E-05,-1.763810509,0.003394476,-0.661182146,4.68E-05
NEK2,-0.043115613,0.387306231,0.096119093,0.274574829,0.01453694,0.972740026,3.601482114,0.003509556,-0.01353333,0.863479143
SERPINA3N,-0.019060411,0.687774909,0.116066158,0.260639078,0.067043707,0.319513524,5.659342834,0.003509556,0.064150907,0.283838997
ATP1A3,-0.000956213,0.990976932,1.625645499,6.21E-08,0.08571905,0.135047508,2.360551942,0.003682719,0.015412729,0.796779518
ATP6V1A,0.541197846,0.0163118,0.645309548,0.000312563,0.189331294,0.256683952,2.023789034,0.003760491,0.336912974,0.011093197
GYK,0.041966535,0.647860542,0.243298067,0.027158744,0.058894539,0.641498335,2.404509784,0.003918137,-0.024485761,0.75766358
CENPE,0.000960331,0.988559536,0.655067267,0.030301088,0.072276717,0.38300086,2.497772223,0.003958903,-0.009608269,0.899727211
PYGL,-0.034166284,0.920077986,0.831653679,0.044596377,0.414187191,0.000260849,2.532966276,0.004104158,-0.152491208,0.106213071
NUMB,-0.155457194,0.624138752,-0.397671271,0.006610253,-0.71730926,0.000165473,-1.596528094,0.004125672,-0.575551302,0.000273295
CD9,0.787087104,7.71E-05,0.645011814,0.000203844,0.579053555,8.39E-05,1.707060894,0.00418709,-0.405408959,0.007938306
SLC2A6,0.606061232,1.29E-05,2.699613014,7.36E-07,0.264398188,0.000100789,3.626175081,0.004422984,0.281637385,0.042415386
P2RY13,-0.164558857,0.075097328,-0.888226517,1.77E-05,-0.326736164,0.003830153,-1.320855759,0.004523562,-0.863270085,6.55E-09
MCOLN2,0.060643434,0.667730528,0.74909572,6.51E-06,-0.019790802,0.900995536,5.055613747,0.004822036,0.152396058,0.425703522
CCR5,-0.120131861,0.083476857,-0.924205909,0.000491249,-0.404107051,0.007610032,-1.260380555,0.005029477,0.434722425,4.92E-05
CLEC4D,0.163024169,0.057911382,-0.362715368,0.52487697,0.032467451,0.757332053,5.449953549,0.005204289,0.177077382,0.249533519
DDX5,-0.154202518,0.049571329,-0.165744405,0.32461593,-0.117064042,0.183320496,-1.190414415,0.005575471,-0.10771361,0.402370788
ANXA2,1.417602751,5.89E-06,2.316479355,0.000498325,0.233639631,0.034796864,2.748937592,0.005924046,0.297843301,0.057994534
BCAR3,0.004317964,0.944754289,2.066826602,3.04E-08,0.046014584,0.402344865,3.341948795,0.005924046,-0.023365666,0.73075029
F11,-0.019354779,0.685985945,0.234749958,0.187224666,-0.025744082,0.803022675,-4.321554848,0.006116376,0.011497214,0.892255068
P2RY12,-0.191486419,0.000307976,-0.961845366,0.000569983,-0.32015849,5.52E-05,-1.398487033,0.006595985,-0.716561675,1.67E-07
MMP12,2.229605345,1.17E-06,0.171164092,0.083095025,1.324207641,1.36E-09,1.67025747,0.006638387,0.00714017,0.927304216
GNAT3,-0.087050879,0.494469353,-0.034396695,0.773739463,0.004999613,0.977085641,7.208310979,0.006795584,-0.022551578,0.787219966
