	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Ldhb	2.45363258977659e-261	-0.387634326725382	0.58	0.775	4.73158508612518e-257
Cyp4f18	7.96103017006287e-259	0.124489506852393	0.126	0.005	1.53520505799492e-254
Tnfaip3	3.69424949633031e-257	0.236736551225358	0.237	0.05	7.12399072872337e-253
Jund	4.48585281383623e-257	0.480714453170074	0.885	0.753	8.65051856620178e-253
Ptgs1	2.13044048101644e-256	-0.373057059535655	0.463	0.708	4.10834142359211e-252
Klf2	3.15780779799025e-256	0.626601809183816	0.802	0.701	6.08951655764441e-252
Rpl30	5.52801341920012e-256	0.303125219063609	0.982	0.939	1.06602210775855e-251
Rpl29	1.98730263968422e-255	0.396696975653934	0.61	0.393	3.83231441036706e-251
Calr	3.21386381326644e-253	-0.333109841458623	0.79	0.92	6.197614977503e-249
Fosb	4.69225872545026e-253	0.496205238564432	0.434	0.178	9.04855172615828e-249
Bhlhe40	7.14010830681067e-252	0.165440204661057	0.151	0.012	1.37689848588537e-247
Ccnl1	1.42591479301638e-250	0.353469403953686	0.546	0.298	2.7497340868528e-246
Rps25	2.59909081156491e-249	0.314190466490132	0.93	0.81	5.01208672102177e-245
H2-Q7	1.43522505473065e-246	0.159996838364871	0.162	0.017	2.76768799554259e-242
Klf6	5.26035978863305e-245	0.528003652529894	0.718	0.493	1.01440778164e-240
Rgs1	5.1729248825584e-244	0.638136647359589	0.621	0.37	9.97546834352562e-240
Rpl6	2.76789960295191e-243	0.312100758653389	0.95	0.86	5.33761759433246e-239
Lilr4b	3.72633007916193e-243	0.147716598147416	0.14	0.01	7.18585492465586e-239
Myo5a	6.48170348211238e-242	0.168888882253707	0.202	0.032	1.24993169949055e-237
Ctss	6.81480692598094e-240	0.211661233966215	1	1	1.31416736760616e-235
Rps23	2.7369767182426e-239	0.293916845859368	0.974	0.913	5.27798590345904e-235
Maff	7.42099801807064e-239	0.155091602241043	0.151	0.014	1.43106525780474e-234
Rpl22l1	1.06037571585362e-238	0.297725229061866	0.523	0.273	2.04482853045212e-234
Hmox1	4.22961786303485e-238	0.572602822022239	0.439	0.226	8.15639508707641e-234
Hspa8	1.0116119217871e-235	0.477353292130498	0.969	0.94	1.95079242997424e-231
Rps7	1.29274524456816e-235	0.316252984918919	0.844	0.657	2.49292992962524e-231
Npm1	1.70797331707183e-235	0.315156331574859	0.695	0.465	3.29365574464131e-231
Rps4x	1.33047874933956e-233	0.285553034162883	0.988	0.951	2.5656952202264e-229
Rps27	4.87555469441415e-230	0.310376217648692	0.903	0.75	9.40201967270824e-226
Mcl1	1.89283090786397e-227	0.354914071651482	0.547	0.358	3.65013512272487e-223
Cd81	4.03975809701531e-227	-0.235420808458702	0.993	0.997	7.79026951428433e-223
Fabp3	5.06346822016726e-226	0.159280069195988	0.151	0.015	9.76439211577054e-222
Maf	6.79207572791301e-224	-0.364851702098212	0.364	0.62	1.30978388337074e-219
Rps15	1.09770504128551e-223	0.288657147246262	0.946	0.853	2.11681440161498e-219
Gem	1.60164720812165e-222	0.355895469567967	0.368	0.135	3.08861647614179e-218
Cadm1	8.43564678067146e-221	0.293307948478804	0.556	0.316	1.62673012518468e-216
Rpl3	1.74100908603927e-220	0.29817052452765	0.938	0.836	3.35736192151812e-216
mt-Co1	6.77151715736533e-219	0.380913959068922	0.988	0.986	1.30581936862633e-214
Crlf2	1.22189965618064e-218	0.252390483653826	0.318	0.109	2.35631129697874e-214
Atp1a3	1.69024501960674e-216	0.129239520391419	0.132	0.011	3.25946849580964e-212
H2-Ab1	1.49619021133418e-215	0.235953888984764	0.235	0.062	2.88525320353683e-211
Ccl6	2.7925886175196e-214	0.346174095626716	0.399	0.183	5.3852278900248e-210
Zfand2a	1.43605921045403e-213	0.212579267954935	0.21	0.044	2.76929658143955e-209
Rpl7a	1.05016718688948e-211	0.294697171477821	0.797	0.603	2.02514240319768e-207
P2rx4	1.18461023442966e-211	0.271033052889168	0.463	0.223	2.28440237607416e-207
Rpl21	2.07504643034775e-211	0.365057353734691	0.89	0.774	4.0015195362826e-207
Ifi204	8.99924559479685e-211	0.118319504421223	0.119	0.008	1.73541452050063e-206
Rai14	2.63146164698382e-209	0.123275533759147	0.131	0.011	5.0745106400436e-205
Tcim	6.80157697299246e-208	0.282456512807492	0.238	0.062	1.31161610347187e-203
Map3k8	5.33017502970392e-207	0.196514328826248	0.227	0.056	1.0278709527281e-202
Abi3	1.1084069079701e-206	-0.315159930408456	0.416	0.65	2.13745188132954e-202
Cmtm6	1.57641842694705e-206	-0.297793681766765	0.27	0.519	3.03996529452469e-202
Mpeg1	1.95210046323953e-206	0.307146744130675	0.834	0.646	3.76443053331112e-202
Fcrls	5.97251722703955e-205	-0.455663867569664	0.693	0.825	1.15174022206231e-200
Wasf2	8.44262150969569e-205	-0.313404769746738	0.372	0.605	1.62807513192972e-200
Arl5c	2.93743144490846e-204	0.197399743311809	0.186	0.039	5.66454279836147e-200
Apobec1	9.01368934414706e-204	0.213684179476526	0.281	0.089	1.73819985312532e-199
Cd84	2.24719149620575e-203	0.254069474185272	0.484	0.232	4.33348408128316e-199
Osm	2.38192278346998e-203	0.252336275540953	0.234	0.061	4.5932998956435e-199
Egr1	8.17389255592107e-201	0.483170436040618	0.654	0.433	1.57625344048382e-196
Srgap2	2.24298669157439e-200	-0.326092061919921	0.461	0.671	4.32537553603204e-196
Rap2b	3.02297319167418e-200	0.159350283100739	0.187	0.035	5.82950150282449e-196
Scamp2	1.65206859129491e-199	-0.320859703768875	0.495	0.703	3.18584907145311e-195
Qk	1.70593950707413e-198	-0.323595168343895	0.583	0.748	3.28973374544176e-194
Ywhah	1.06586627970757e-197	-0.326369973927238	0.56	0.73	2.05541653378808e-193
Ctsl	4.6606751648971e-197	0.336432923941186	0.96	0.9	8.98764598798757e-193
Rpl9	1.14027811611733e-196	0.277341426037882	0.899	0.753	2.19891231912066e-192
Ly9	1.19433576215747e-196	0.152156148419853	0.181	0.033	2.30315708374447e-192
Gm1673	2.03105411993069e-195	0.125887563521938	0.135	0.015	3.91668476487435e-191
Srgn	1.204330407594e-192	0.304797488332245	0.61	0.418	2.32243075800427e-188
Sqstm1	1.47966103471309e-192	0.264290959193938	0.386	0.194	2.85337833934072e-188
Rpl23a	5.49215890808527e-192	0.277100738289952	0.839	0.646	1.05910792383516e-187
Eef1b2	1.7391311725089e-191	0.283848808345245	0.83	0.656	3.35374055306616e-187
Uqcrh	6.45744230430396e-190	0.273699165695257	0.67	0.456	1.24525317396198e-185
Pdcd1	1.06844441477813e-189	0.128066774454631	0.13	0.014	2.06038820945815e-185
Aplp2	1.33659257350061e-189	0.276596271418146	0.52	0.276	2.57748511873858e-185
Nav3	8.20017217182049e-188	-0.263479459374001	0.145	0.37	1.58132120161386e-183
Zc3h12a	2.08823714803055e-187	0.151578429891009	0.155	0.025	4.02695651626211e-183
Iqgap1	8.14451619713426e-187	0.151547536257778	0.169	0.03	1.57058850345537e-182
H2-Q6	2.03712047284874e-186	0.108376346605346	0.112	0.009	3.9283831198415e-182
Tspo	2.44686932307306e-186	0.233036577922827	0.421	0.2	4.71854280261409e-182
Rpl18	2.62087670744016e-186	0.266369726993986	0.945	0.859	5.05409864262761e-182
Apoc4	5.56881242338913e-186	0.0920013998940163	0.079	0.001	1.07388978772636e-181
Cstb	2.13739047591591e-185	0.260793765521793	0.4	0.197	4.12174379375624e-181
Clic4	5.32620041572541e-185	0.15586960933418	0.17	0.032	1.02710448816849e-180
Actb	1.56604453607274e-183	-0.192845493688553	0.998	1	3.01996028336267e-179
Ch25h	9.65071352458059e-182	0.115579309630347	0.098	0.005	1.86104359608012e-177
Cebpb	7.48334861562335e-181	0.41075552580273	0.604	0.441	1.44308894703681e-176
Ank	4.2822686792063e-179	0.188745394024539	0.215	0.058	8.25792692098144e-175
Neurl3	1.46791364790332e-178	0.341482552700541	0.389	0.183	2.83072467861677e-174
Elmo1	2.68530620341407e-178	-0.276861715579072	0.26	0.488	5.1783444826637e-174
Rplp1	1.12986526554154e-177	0.222460907404521	0.998	0.991	2.17883217807031e-173
Cd14	4.18810400166292e-177	0.37987837243929	0.708	0.558	8.07633975680677e-173
Fam46c	4.60079713127139e-177	0.248368272353874	0.429	0.217	8.87217718794374e-173
Milr1	7.4004315759008e-177	0.15857097792074	0.21	0.052	1.42709922509671e-172
Rbpms	5.86795212846745e-175	0.216345707626046	0.262	0.084	1.13157588845366e-170
Rps29	8.15579981797911e-175	0.233936683412372	0.994	0.968	1.57276443689909e-170
Nrp1	8.67964127052457e-175	0.211440511625708	0.374	0.159	1.67378202260796e-170
Glipr1	8.78484574085907e-175	0.168440527645749	0.215	0.059	1.69406965266726e-170
Slfn2	1.05122655714668e-173	0.181804167329689	0.186	0.043	2.02718529280167e-169
Cdkn1a	1.07217978993161e-172	0.254832658225979	0.249	0.082	2.06759150690411e-168
Fchsd2	1.8651518211406e-171	-0.262970053038122	0.174	0.388	3.59675877188753e-167
Ms4a7	2.8315412521377e-171	0.0867799214919827	0.072	0.001	5.46034415062234e-167
H2-Aa	3.0247677915287e-171	0.168712665339083	0.123	0.017	5.83296220918395e-167
Rilpl2	4.17604222364026e-171	0.170568238341284	0.181	0.042	8.05307982406787e-167
Rpl14	2.73862515854873e-170	0.262864719384869	0.911	0.789	5.28116475574537e-166
Rps3a1	2.92009189641185e-169	0.247238983342761	0.977	0.93	5.63110521304061e-165
Rpl35	1.19717373075653e-167	0.232529548407447	0.49	0.273	2.30862982239089e-163
Gla	1.0653460332574e-166	0.143713567335744	0.17	0.035	2.05441329053358e-162
Entpd1	2.0281717750624e-166	-0.266725525858632	0.3	0.519	3.91112645103034e-162
Eif3f	6.24891719894337e-166	0.252195949626934	0.641	0.436	1.20504119264424e-161
Gnas	4.44712602640413e-165	0.289927016667429	0.778	0.602	8.57583782931773e-161
Slc11a1	8.1286030055712e-163	0.237106338215126	0.534	0.319	1.56751980359435e-158
Rab20	7.50384749459005e-162	0.172268650339132	0.2	0.061	1.44704195085675e-157
Cyth4	7.78786889219201e-162	-0.28255928749925	0.598	0.764	1.50181263717031e-157
Cxcr4	1.90049852651508e-161	0.0967933767533834	0.097	0.007	3.66492135853169e-157
Dpp7	3.97437926973439e-160	0.188023142473668	0.314	0.127	7.6641929837558e-156
Hbb-bs	4.588608970219e-160	-0.203785417584466	0.926	0.975	8.84867353817031e-156
Bbc3	2.79859156975864e-159	0.173660371700518	0.219	0.066	5.39680398312256e-155
Slc2a5	1.60496595131713e-158	-0.227919945672084	0.067	0.24	3.09501634051996e-154
Plaur	3.29009448957205e-158	0.122385709533667	0.129	0.02	6.34461821369073e-154
Rpl10	9.8513174200716e-157	0.24869532485771	0.858	0.703	1.89972805128661e-152
Ccr5	1.02155478709956e-156	-0.268118630865678	0.262	0.477	1.9699662514428e-152
Cd53	1.73774184312738e-156	-0.26754768251989	0.672	0.782	3.35106137028684e-152
Basp1	3.70423937546991e-155	-0.262045477545552	0.735	0.851	7.14325521165617e-151
Ifitm3	3.78687964727176e-155	0.210693828654603	0.239	0.079	7.30261871179887e-151
Ubc	5.44978230640605e-155	0.435720327865132	0.779	0.694	1.05093601996734e-150
Nrip1	1.11722719316223e-154	-0.283422602890905	0.372	0.577	2.15446091929405e-150
Tuba1c	1.31195309512308e-154	0.131373716847689	0.142	0.027	2.52997034863535e-150
Slamf9	8.67506102854741e-154	0.205936165625938	0.39	0.187	1.67289876874508e-149
Cd44	1.60452366838371e-153	0.0815417792951204	0.087	0.005	3.09416344211115e-149
Rpl15	1.78531977294253e-152	0.25443882502198	0.897	0.788	3.44281065014237e-148
Ctsh	8.06677087818857e-151	0.22671549299189	0.948	0.829	1.55559609614988e-146
Cd22	4.45383513953508e-150	0.0936510687398279	0.107	0.012	8.58877568307944e-146
Susd3	6.49553533513657e-150	-0.249718060068906	0.263	0.468	1.25259903402774e-145
AU020206	1.95624528341871e-149	0.179219512554587	0.312	0.126	3.77242340454464e-145
Pmaip1	1.33218488576242e-148	0.182844880386383	0.232	0.076	2.56898533370424e-144
