"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Tjp1",1,0.123734703127361,0.106078354809319,0.102587734845799,0.151638450919131,"down-regulated","notAll"
"Tlr2",1,0.400740293095634,0.613171938045034,0.350584898971996,0.366998474169876,"up-regulated","up-regulated"
"Tm2d2",1,0.299214382837287,0.26200702850449,0.319177596596951,0.264695197268037,"down-regulated","down-regulated"
"Tmbim6",1,1.56685299894244,1.2994923857868,1.37497341368309,1.43188258373901,"down-regulated","down-regulated"
"Tmem141",1,0.157501133101677,0.110633866979045,0.152570010634527,0.142628787328344,"down-regulated","down-regulated"
"Tmem47",1,0.0170720652666566,0.0173109462449564,0.0258064516129032,0.0241953062559035,"down-regulated","notAll"
"Tmprss5",1,0.000302160447197462,0.0014317323961994,0.000425381070542361,0.00334229455787256,"down-regulated","notAll"
"Tnf",1,0.275570327844085,0.569439021215671,0.337894363700815,0.36576327835501,"up-regulated","up-regulated"
"Tnfrsf13b",1,0.170116331772171,0.117922686450605,0.173909961006735,0.180556564702463,"down-regulated","down-regulated"
"Tnfrsf21",1,0.222163468801934,0.173890407392945,0.287415809996455,0.223497783913391,"down-regulated","down-regulated"
"Tns3",1,0.223523190814322,0.196277495769882,0.194115561857497,0.231853520308072,"down-regulated","notAll"
"Tpcn1",1,0.152817646170116,0.105557724847065,0.153704360155973,0.146988301969047,"down-regulated","down-regulated"
"Tpm3",1,0.445460039280858,0.49199531433034,0.327756114852889,0.574656688222045,"down-regulated","notAll"
"Tpm3-rs7",1,0.188170418492219,0.034231420018222,0.314073023750443,0.0111894209111386,"up-regulated","notAll"
"Tpp2",1,0.217026741199577,0.201353637901861,0.236866359447005,0.230690983070551,"down-regulated","down-regulated"
"Trf",1,1.67064511255477,1.78406872315502,1.66678482807515,1.74758410230328,"up-regulated","up-regulated"
"Trip12",1,0.147303218008763,0.113237016790316,0.124140375753279,0.149604010753469,"down-regulated","down-regulated"
