gene	Arf1_WT.signed.value	aging.signed.value
Adcy8	-0.0198943655866651	-0.00292480900336034
Adcyap1r1	-0.0052786316327424	0.00425678757477421
Add1	-0.138266156521377	0.0256025139975378
Add3	-0.318779982796003	-0.0702719159587178
Adh5	-0.0191586161384146	-0.0849157201112543
Adhfe1	-1.67042141570482e-05	0.0035962223169137
Adi1	-0.000106751999826328	0.0172425813461563
Adipor1	0.0525042578295255	0.0209994855080398
Adipor2	0.00129595912963605	-0.106996427298219
Adk	0.00161794312050517	0.00289733265497319
Adm	0.00106498291655573	-0.00674977346593445
Adnp	-0.00756108413622308	-0.0341529669651917
Adora1	0.00201723885273142	0.0383271053418801
Adora2a	-0.00737790469065537	-0.000653632510427918
Adora2b	-1.74718104435543e-06	-7.07587221951995e-05
Adora3	-1.61405945769146	-0.192001463814958
Adpgk	0.00043284031539739	0.00915938515394085
Adprh	-0.303261569317126	-0.000802977770962379
Adra1a	6.17079780774205e-07	-2.51767916295398e-05
Adra1b	-5.3428956446179e-10	-0.0285125526036346
Adra2a	-0.00676392151736532	-0.0152268839129242
Adra2c	7.60118898302732e-06	0.0115185733600472
Adrb1	0.700790587802956	-0.0159208015219234
Adrb2	0.11492219231502	-0.0280877462028397
Aebp1	-0.00168170217035962	-0.00078068811696097
Aebp2	-0.110567517916653	-0.173553939436504
Afap1	-0.00332924959837112	-0.00158479021645342
Afap1l1	0.0248285734717793	-0.00858661296744202
Aff1	-0.0182367979156996	0.0251610406161402
Aff4	-0.0543081020092963	-0.0286185785338255
Afg3l2	-0.00164211620491	5.04503591499413e-05
Afmid	-1.52351163142176e-05	0.0108346606777292
Afp	-0.0139295155509705	0.148832786406125
Aftph	-0.107462305978377	-0.124606430432051
Aga	-2.67319527405784e-05	-0.00985225757980838
Ager	1.975400104643e-06	0.0300123691735523
Aggf1	-0.00587566860571107	0.0750637617541686
Agk	-0.00233224825795533	-0.000131359176798446
Agpat1	-0.00513149200918246	-0.00139658089356625
Agpat3	-0.129687986810543	-0.115697813843097
Agpat4	0.0217597603465657	0.0385131809006103
Agpat5	0.00186125811644798	0.00093576576599607
Agps	-0.201910435346433	-0.0588452496449606
Agrn	-0.028137589395163	-0.00368496213205158
Agt	-0.114062536345751	0.000101621489088707
Agtpbp1	0.00561151961526036	-0.000621073789769053
Agtrap	0.00754196328927846	-0.000480304368120039
Ahctf1	-0.00712088184331468	0.0668423319399498
Ahcy	0.000616485237204126	0.0167212739877887
Ahcyl1	-0.0108865878852829	0.0856547474069845
Ahdc1	-0.0255289775007844	-0.000652334912101346
Ahnak	-0.0113592461963209	1.37501306113227
Ahrr	-0.000142751802631148	0.00185139626081742
Ahsa1	-0.00504325020871686	-0.0484103690476799
Aif1	-31.1349857020935	0.000278253161773897
Aifm1	-0.0025739379014465	-0.00272932024887886
Aifm2	0.000282607522483993	0.0972524343412877
Aifm3	-0.00763278557318098	-0.0179993083788049
Aig1	-0.0390173943193418	0.0305871436070067
Aim2	-0.0695618832992596	-0.0309906936923353
Aip	-0.0466130086230692	-0.000613097625379987
Ak1	-0.246857577941833	0.0142518821448691
Ak2	0.0322765435487272	-0.00528626509081085
Ak3	0.00178714756673109	-0.0179388900000413
Ak6	-0.00362017160302791	-0.00158307169527246
Akap1	-0.00365115586508925	0.0164235667062583
Akap10	-0.000340563792930451	0.02866472084515
Akap12	-0.100254007305991	-0.0134717669929339
Akap14	-0.00460896911446229	0.00420553540829136
Akap7	-0.0034562281750761	-0.00354548516230909
Akap8	0.00845748224423827	0.0085284690695495
