gene	Arf1_WT.signed.value	DAM.signed.value
Abhd10	3.30521947524435e-05	0.00204771667371503
Abhd11	0.130943240173434	0.578925408538427
Abhd12	-1.81429456501214	-2.62124169843579
Abhd13	-0.00511518007218094	-0.485498790995043
Abhd15	0.18308151817815	-0.479255210612542
Abhd16a	-0.00301851491859723	-0.228992065371454
Abhd2	-0.00192258007440125	0.675141497750755
Abhd4	-0.0136094735137954	0.353654215166522
Abhd5	0.000468859655943427	0.491602783888937
Abhd6	-0.408367190724679	2.0156999897585
Abi1	-0.0379125033455736	-0.0865147602919257
Abi2	-0.0228856159247555	-0.0143834764533373
Abi3	-5.23382476562795	2.51588834098128
Abl1	-1.2481202802186	-1.45544426893017
Abl2	-0.00654544213942741	0.366563455398546
Abr	-0.00926165820544856	0.570512012368282
Abt1	-6.2275386241415e-05	0.00508633141369791
Abtb1	-0.00327104949666205	-0.380990942757745
Acaa2	0.00394025013345502	-0.0388807747555324
Acaca	0.0716049933159387	5.30740167514501
Acad11	-0.00348790836643137	-0.0480723780532993
Acad9	-0.00350249450091725	-0.238453995209445
Acadl	-0.000636853841063781	-0.952884782333162
Acadm	-0.000947028571431631	0.17596564480891
Acads	-0.844723510760996	-1.51882576413713
Acadsb	-0.00286844184755763	-0.406836396670019
Acadvl	-0.00944547727097436	-0.00355037976833766
Acap2	-0.691434180193635	-1.55064323567687
Acat1	-0.0769282579785057	0.0189955580814307
Acbd3	-0.105575825787904	-0.580408127914026
Acbd4	0.00362502846035853	-0.195695633740796
Acbd5	-8.87578702500495e-05	0.0689643363463896
Acbd6	-0.000882449716722072	4.07444805833805
Accs	-0.171554214109261	-2.20067123146125
Acd	0.0110398465022531	-0.486060368243366
Acer3	0.0146191087369612	-5.11206279438732
Ache	-0.118149303461467	2.46820058272028
Acin1	-0.382761427764079	0.431441573242923
Acly	0.0055606345048387	0.71790898890183
Aco2	-0.0532093343518852	0.452988522237941
Acot13	-0.00706085364230417	0.0785201012899213
Acox1	-0.0111613886390241	0.0276743910328917
Acox3	-0.0174619204635271	-0.56389919762887
Acp2	-1.65472290634457	-0.840172475996883
Acsl4	-0.00607240485486496	0.141443534704839
Acsl5	-0.000423835617426698	-0.536419722767585
Acss1	-0.136377552392956	-0.636737775819118
Actb	-0.66164936958498	12.4833959040149
Actn1	-0.102290454716042	0.339336206646413
Actn4	-0.0184346601546638	-1.5865506371174
Actr10	-0.00170400186432084	-0.134836634518526
Actr1a	-0.0846967610722157	1.07621195898958
Actr2	-0.410321818635764	0.859415082411533
Actr3	-0.0303702659921885	0.0487244506732188
Actr8	-0.0088525865891693	0.354412756781016
Acvr1	-0.0410479467779986	-0.164414066118886
Acvr2b	-0.00160305373576551	-1.57565440270887
Acy1	0.00286478787900127	-0.0743587322946583
Adam10	-0.894431667583092	1.80453322488268
Adam15	-0.332749535884775	2.38239652052448
Adam17	-0.773700796538796	0.0250657095046303
Adam3	0.00261081007125891	0.0838879355559656
Adam9	0.00468044900596993	-1.31146736202021
Adamts1	-0.313992392635125	0.801957189118861
Adap2	-0.193091750268938	-1.66481198710433
Adar	-0.00044949933316852	1.2450588055838
Adarb1	0.0385829747510032	5.19690972071213
Adck1	-0.000740693805433103	1.15441619427066
Adck2	-0.00858052754980929	-1.27858580425094
Adck5	1.93442576632888e-05	0.954112960253168
Adcy7	-0.00174824976357439	-0.496746819042306
Add1	-0.138266156521377	0.139933448503808
Add3	-0.318779982796003	0.740125767470815
Adh5	-0.0191586161384146	0.628326293687613
Adipor1	0.0525042578295255	-1.43356245088966
Adipor2	0.00129595912963605	-0.957380608512277
Adnp	-0.00756108413622308	-0.260434742231723
Ado	-0.00250285614348103	-2.75222832001624
Adora3	-1.61405945769146	-2.7012342279974
Adprh	-0.303261569317126	0.310933842885942
Adprhl2	-0.0257695617135394	0.228088380139685
Adrb1	0.700790587802956	-2.63600908546886
Adrb2	0.11492219231502	-4.70678334569353
Adsl	-0.000708692044462524	0.24890834112374
Adss	-0.00530112793657979	0.00891947460016866
Aebp2	-0.110567517916653	1.01773934770343
Aes	-0.0547047896987269	-3.29560750931784
Afap1	-0.00332924959837112	0.263677139436362
Afap1l1	0.0248285734717793	0.0695055768934913
Aff1	-0.0182367979156996	-0.783689847869617
Aff4	-0.0543081020092963	0.622620685914727
Afg3l1	-0.00413518884010437	0.311199030240405
Afg3l2	-0.00164211620491	0.265775392708547
Aftph	-0.107462305978377	-0.0493376975856624
Aga	-2.67319527405784e-05	-0.547200886613171
Agap1	-0.0394224533175814	0.0286162076934078
Agfg1	-0.0177938438737312	0.239224166623333
Aggf1	-0.00587566860571107	1.6361633881347
Agl	-0.0285574654930009	-0.196669279663101
Agmo	-0.0673234946879637	0.432213025869863
Agpat2	0.0200637145226263	1.00024371274709
Agpat3	-0.129687986810543	0.638344451759453
Agpat5	0.00186125811644798	-0.553977856870242
Agps	-0.201910435346433	-0.0221696278236798
Agtrap	0.00754196328927846	-0.557055450279194
Ahctf1	-0.00712088184331468	-0.414819600388255
Ahcyl1	-0.0108865878852829	0.749039610408071
Ahdc1	-0.0255289775007844	-0.195950689485701
Ahsa2	-0.00420562993933969	0.0862200686687424
AI314180	-0.00452840882200285	0.0690668557118403
AI413582	-0.0150200180886994	0.509571294258046
AI467606	-0.0341750864649909	0.492330715818204
AI837181	-0.0224770986840582	-0.000149334738714894
AI987944	-0.00349729454772665	-0.811704781446283
Aif1	-31.1349857020935	2.22288521614025
Aifm1	-0.0025739379014465	0.220364795405882
Aig1	-0.0390173943193418	0.388507401167621
Aim2	-0.0695618832992596	-0.67427474440243
Aimp1	0.00115705025407243	-1.42793899547319
Aimp2	0.00345980973886795	0.82234742319336
Aip	-0.0466130086230692	-0.120131411190346
Ak1	-0.246857577941833	0.402376761566715
Ak2	0.0322765435487272	-0.329864447415365
Ak3	0.00178714756673109	-1.70680923218071
Akap10	-0.000340563792930451	0.0281388683751586
Akap13	-3.01104606675111	-2.33910629124888
Akap5	-0.0116249580344513	-0.340345954577588
Akap8	0.00845748224423827	-1.72398790291248
Akap8l	-0.000120627142489898	-2.46287165520941
Akap9	-0.171130851225209	0.320139082773395
Akirin1	-0.00289757535505753	0.443203759466131
Akirin2	-1.94458526141741	-1.15089483211491
